資金繰り表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
単位：千円,,,前月, 02/ 01 (土) , 02/ 02 (日) , 02/ 03 (月) , 02/ 04 (火) , 02/ 05 (水) , 02/ 06 (木) , 02/ 07 (金) , 02/ 08 (土) , 02/ 09 (日) , 02/ 10 (月) , 02/ 11 (火) , 02/ 12 (水) , 02/ 13 (木) , 02/ 14 (金) , 02/ 15 (土) , 02/ 16 (日) , 02/ 17 (月) , 02/ 18 (火) , 02/ 19 (水) , 02/ 20 (木) , 02/ 21 (金) , 02/ 22 (土) , 02/ 23 (日) , 02/ 24 (月) , 02/ 25 (火) , 02/ 26 (水) , 02/ 27 (木) , 02/ 28 (金) , 03/ 01 (土) , 03/ 02 (日) , 03/ 03 (月) ,合計,月平均
売上計画,,,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
前月繰越金（自己資金）　　　　  (A),,,"¥4,369,944","¥4,369,944","¥3,809,789","¥3,762,929","¥2,597,866","¥2,584,366","¥2,547,235","¥2,531,215","¥2,316,140","¥2,262,729","¥2,255,584","¥2,238,199","¥2,209,034","¥2,209,034","¥2,202,884","¥2,153,529","¥2,153,529","¥2,116,819","¥2,049,395","¥2,049,395","¥1,976,625","¥1,971,727","¥1,828,569","¥1,828,569","¥1,810,730","¥1,809,283","¥2,066,475","¥2,063,857","¥2,801,198","¥1,574,968","¥1,574,968","¥1,666,968",,
営業収支,収入,　現金売上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,¥0,-
,,　売掛金回収,,,,"¥50,000",,,,,,,,,,,,,,,,,,,,,,"¥263,120",,"¥4,354,491","¥685,332",,"¥92,000","¥5,245,128","¥10,690,071","¥1,088,989"
,,　前受金,,,,,,,,,,,,,,,,,,,,,,"¥10,046",,,,,,,,,,,"¥10,046","¥10,046"
,,　その他,,¥421,,,,,,,,,,,,,"¥9,515",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (B),,,¥421,¥0,"¥50,000",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥9,515",¥0,¥0,¥0,¥0,¥0,¥0,"¥10,046",¥0,¥0,¥0,"¥263,120",¥0,"¥4,354,491","¥685,332",¥0,"¥92,000","¥5,245,128","¥10,710,053","¥182,164"
,支出,家賃,,,,,,,,"¥189,145",,,,,,,,,,,,,,,,,,,,,,,,,"¥189,145","¥189,145"
,,デビットカード,,"¥13,640",,,,,,,,,"¥7,375",,,,,,"¥25,000","¥56,734",,,,,,,,,,,,,,,"¥102,749","¥25,687"
,,広告費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,人件費（ハルカゼ）,,"¥461,452",,"¥727,879",,,,,,,,"¥10,145",,,,,,,,,,,,,,,,"¥336,365","¥1,434,647",,,,"¥2,970,488","¥594,098"
,,人件費（その他）,,,,"¥229,130",,,,,,,,,,,"¥5,748",,,,,,,,,,,,,,"¥474,992",,,,"¥709,870","¥236,623"
,,諸経費,,"¥85,484","¥46,860","¥258,054","¥13,500","¥37,131","¥16,020","¥25,930","¥53,411","¥7,145","¥10,010","¥19,020",,"¥6,150","¥53,122",,"¥11,710","¥10,690",,"¥72,770","¥4,898","¥153,204",,"¥17,839","¥1,447","¥5,928","¥2,618",,"¥1,923",,,,"¥914,864","¥39,777"
,,税金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"¥3,280,785",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,　計　　　    　 (C),,,"¥560,576","¥46,860","¥1,215,063","¥13,500","¥37,131","¥16,020","¥215,075","¥53,411","¥7,145","¥17,385","¥29,165",¥0,"¥6,150","¥58,870",¥0,"¥36,710","¥67,424",¥0,"¥72,770","¥4,898","¥153,204",¥0,"¥17,839","¥1,447","¥5,928","¥2,618","¥3,617,150","¥1,911,562",¥0,¥0,¥0,"¥8,167,901","¥272,263"
,,差引過不足  (B)-(C)=(D),¥0,"-¥560,155","-¥46,860","-¥1,165,063","-¥13,500","-¥37,131","-¥16,020","-¥215,075","-¥53,411","-¥7,145","-¥17,385","-¥29,165",¥0,"-¥6,150","-¥49,355",¥0,"-¥36,710","-¥67,424",¥0,"-¥72,770","-¥4,898","-¥143,158",¥0,"-¥17,839","-¥1,447","¥257,192","-¥2,618","¥737,341","-¥1,226,230",¥0,"¥92,000","¥5,245,128","¥2,542,152","-¥87,193"
投資収支,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,計　　　    　 (E),¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0
財務収支,収入,借入金（銀行）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
