大項目,,収支,2023年7月,2023年8月,2023年9月,2023年10月,2023年11月,2023年12月,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年9月,2024年9月,2024年9月,2024年9月,2024年9月,2024年9月,2024年10月,2024年11月,2024年12月,2025年１月,2025年２月,2025年２月,,,前月比,2024年3月_分析コメント,,,,,,,,,
,一括,一括,0,"2,191,200","1,095,600","3,812,600","3,792,600","5,334,600","4,860,200","6,706,200","2,987,000","8,514,928","5,974,000 ","5,380,800 ","7,900,500 ","10,878,000 ","6,934,000 ","6,934,000 ","6,934,000 ","6,934,000 ","6,934,000 ","6,934,000 ","6,934,000 ","6,138,000 ","10,120,000 ","6,394,000 ","7,740,000 ","6,258,242 ",,,,"▲1,481,758",,,,,,,,,,
,,CBS,0,0,0,0,0,0,0,"599,400","1,795,500","2,902,725","3,591,000 ","1,786,400 ","16,000 ","2,194,000 ","2,282,000 ","2,282,000 ","2,282,000 ","2,282,000 ","2,282,000 ","2,282,000 ","2,282,000 ","1,759,090 ","1,795,500 ","3,397,000 ","1,588,000 ","6,384,000 ",,,,"4,796,000 ",,,,,,,,,,
,,京都信販,,,,,,,,,,,,,"25,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"374,944 ",,,,"374,944 ",,,,,,,,,,
,,クーオフ分マイナス,,,,,,,,,,,,"▲599,400",,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,0 ,,,,,,,,,,
,,中途解約,,,,,,,,,,,,,,,"▲188,212","▲188,212","▲188,212","▲188,212","▲188,212","▲188,212","▲188,212",0 ,0 ,0 ,0 ,0 ,,,,0 ,,,,,,,,,,
,,頭金10万+24分割,,,,,,,,,,,"349,940 ","194,880 ","274,910 ","69,910 ","119,850 ","119,850 ","119,850 ","119,850 ","119,850 ","119,850 ","119,850 ","125,960 ","116,660 ","125,960 ","100,990 ","150,930 ",,,,"49,940 ",,,,,,,,,,
,,頭金20万＋6分割,,,,,,,,,,,,"76,552 ","76,552 ","76,552 ","153,104 ","153,104 ","153,104 ","153,104 ","153,104 ","153,104 ","153,104 ",0 ,0 ,"6,000 ",0 ,0 ,,,,0 ,,,,,,,,,,
,,頭金20万+24分割,,,,,,,,,,,,,,,"188,000 ","188,000 ","188,000 ","188,000 ","188,000 ","188,000 ","188,000 ",0 ,0 ,0 ,0 ,0 ,,,,0 ,,,,,,,,,,
,,頭金30万+24分割,,,,,,,,,,,,,,,"429,940 ","429,940 ","429,940 ","429,940 ","429,940 ","429,940 ","429,940 ","14,970 ","14,970 ","14,970 ","14,970 ","14,970 ",,,,0 ,,,,,,,,,,
,,2分割,,,,,,,,"278,580","278,580",0,"219,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ","19,970 ",0 ,"39,940 ",,,,"39,940 ",,,,,,,,,,
,12分割払い,6分割,0,0,0,0,0,"197,160","98,580","197,160","295,960","296,400","296,400 ","197,600 ","98,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,0 ,,,,,,,,,,
,24分割払い,24分割,"28,419","28,419","28,419","29,480","29,480","29,480",0,"324,970","1,299,735","184,760","184,765 ","124,855 ","184,765 ","139,825 ","139,825 ","139,825 ","139,825 ","139,825 ","139,825 ","139,825 ","139,825 ","139,825 ","139,825 ","159,795 ","184,765 ","109,850 ",,,,"▲74,915",,,,,,,,,,
,36分割払い,36分割,"75,500","396,375","320,875","1,182,940","769,720","991,760","880,703","930,823","596,080","574,330","1,355,560 ","737,480 ","737,480 ","717,900 ","735,310 ","735,310 ","735,310 ","735,310 ","735,310 ","735,310 ","735,310 ","805,790 ","830,600 ","769,690 ","732,750 ","752,330 ",,,,"19,580 ",,,,,,,,,,
,50分割払い,50分割,"190,242","219,510","219,510","182,160","227,700","91,080","30,360","75,900","106,260",0,"121,440 ","121,440 ","106,260 ","121,440 ","106,260 ","106,260 ","106,260 ","106,260 ","106,260 ","106,260 ","106,260 ","121,440 ","91,080 ","106,260 ","91,080 ","91,080 ",,,,0 ,,,,,,,,,,
