,,2022,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,2022~2025
,,12月,合計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,1月,2月,3月,4月,5月,6月,上半期合計,7月,8月,9月,10月,11月,12月,下半期合計,合計,合計
,販管費,,-,,,,,,,,,,,,,-,"¥3,370,975","¥1,956,954","¥1,325,763","¥2,843,547","¥1,508,761","¥3,007,937","¥14,013,937","¥5,420,832","¥3,641,668","¥5,232,512","¥3,883,825","¥6,922,657","¥4,701,520","¥29,803,014","¥43,816,951","¥8,349,072","¥8,167,901","¥3,298,381","¥5,163,145","¥13,669,410","¥9,275,252","¥47,923,161","¥9,733,823","¥7,000,000","¥7,000,000","¥7,000,000","¥7,000,000","¥7,000,000","¥3,493,823","¥51,416,984","¥95,233,935"
, L 役員報酬,,,,,,,,,,,,,,,,¥0,¥0,"¥123,525",¥0,¥0,¥0,"¥123,525",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥123,525","¥168,110","¥336,220",¥0,"¥336,220",¥0,"¥336,220","¥1,176,770",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,176,770","¥1,300,295"
, L 給与賃金,,,,,,,,,,,,,,,,"¥342,180","¥242,180","¥242,180","¥242,180","¥242,180","¥168,110","¥1,479,010","¥168,110","¥170,310","¥168,110","¥168,110","¥168,110",¥0,"¥842,750","¥2,321,760",¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥2,321,760"
, L 地代家賃,,,,,,,,,,,,,,,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥594,896",¥0,"¥190,507","¥264,600","¥189,000","¥189,000","¥1,428,003","¥1,428,003","¥189,529","¥189,000","¥378,000",¥0,"¥378,000","¥189,000","¥1,323,529",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥1,323,529","¥2,751,532"
, L 広告宣伝費,,,,,,,,,,,,,,,,¥0,¥0,¥0,"¥200,000","¥200,000",¥0,"¥400,000",¥0,¥0,"¥231,000","¥1,718",¥0,¥0,"¥232,718","¥632,718",¥0,"¥3,960","¥3,960","¥3,960","¥3,960","¥3,960","¥19,800","¥3,960",¥0,¥0,¥0,¥0,¥0,"¥3,960","¥23,760","¥656,478"
, L 旅費交通費,,,,,,,,,,,,,,,,¥0,¥0,"¥57,360","¥288,200",¥0,"¥285,110","¥630,670","¥57,700","¥2,800","¥314,885","¥1,073,114","¥283,640","¥29,352","¥1,761,491","¥2,392,161","¥235,330","¥13,300",¥0,¥0,"¥31,000","¥228,498","¥508,128","¥173,441",¥0,¥0,¥0,¥0,¥0,"¥173,441","¥681,569","¥3,073,730"
, L 備品・消耗品,,,,,,,,,,,,,,,,¥0,"¥30,000",¥0,"¥516,166","¥19,128","¥60,116","¥625,410","¥311,113","¥433,348","¥657,063","¥100,494","¥354,022","¥47,016","¥1,903,056","¥2,528,466","¥149,322","¥386,059","¥7,323",¥0,"¥312,554","¥163,557","¥1,018,815","¥11,034",¥0,¥0,¥0,¥0,¥0,"¥11,034","¥1,029,849","¥3,558,315"
, L システム費,,,,,,,,,,,,,,,,¥0,¥0,¥0,¥0,¥0,"¥102,060","¥102,060",¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥102,060","¥61,581","¥122,734","¥55,800","¥61,198","¥101,997","¥155,061","¥558,371","¥350,293",¥0,¥0,¥0,¥0,¥0,"¥350,293","¥908,664","¥1,010,724"
, L 通信費,,,,,,,,,,,,,,,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,"¥7,375","¥7,375","¥7,375","¥7,375","¥47,175","¥7,375","¥84,050","¥7,375",¥0,¥0,¥0,¥0,¥0,"¥7,375","¥91,425","¥91,425"
, L 接待交際費,,,,,,,,,,,,,,,,¥0,¥0,¥0,"¥128,350","¥70,954","¥339,458","¥538,762","¥224,998","¥174,133","¥200,670","¥266,032","¥62,583","¥253,940","¥1,182,356","¥1,721,118","¥143,134","¥212,264","¥101,480","¥36,000","¥186,042","¥359,377","¥1,038,297","¥36,700",¥0,¥0,¥0,¥0,¥0,"¥36,700","¥1,074,997","¥2,796,115"
